company_name,company_price_intraday,company_symbol,company_symbol_link
Microsoft Corporation,185.90,MSFT,https://finance.yahoo.com/sector/ms_technology/quote/MSFT?p=MSFT
Apple Inc.,318.14,AAPL,https://finance.yahoo.com/sector/ms_technology/quote/AAPL?p=AAPL
Taiwan Semiconductor Manufacturing Company Limited,52.09,TSM,https://finance.yahoo.com/sector/ms_technology/quote/TSM?p=TSM
Intel Corporation,59.72,INTC,https://finance.yahoo.com/sector/ms_technology/quote/INTC?p=INTC
NVIDIA Corporation,323.08,NVDA,https://finance.yahoo.com/sector/ms_technology/quote/NVDA?p=NVDA
Adobe Inc.,371.14,ADBE,https://finance.yahoo.com/sector/ms_technology/quote/ADBE?p=ADBE
Oracle Corporation,52.83,ORCL,https://finance.yahoo.com/sector/ms_technology/quote/ORCL?p=ORCL
"salesforce.com, inc.",181.00,CRM,https://finance.yahoo.com/sector/ms_technology/quote/CRM?p=CRM
ASML Holding N.V.,302.40,ASML,https://finance.yahoo.com/sector/ms_technology/quote/ASML?p=ASML
Accenture plc,188.69,ACN,https://finance.yahoo.com/sector/ms_technology/quote/ACN?p=ACN
Broadcom Inc.,273.95,AVGO,https://finance.yahoo.com/sector/ms_technology/quote/AVGO?p=AVGO
International Business Machines Corporation,122.94,IBM,https://finance.yahoo.com/sector/ms_technology/quote/IBM?p=IBM
Texas Instruments Incorporated,114.29,TXN,https://finance.yahoo.com/sector/ms_technology/quote/TXN?p=TXN
QUALCOMM Incorporated,80.78,QCOM,https://finance.yahoo.com/sector/ms_technology/quote/QCOM?p=QCOM
Shopify Inc.,767.56,SHOP,https://finance.yahoo.com/sector/ms_technology/quote/SHOP?p=SHOP
Sony Corporation,66.17,SNE,https://finance.yahoo.com/sector/ms_technology/quote/SNE?p=SNE
"Fidelity National Information Services, Inc.",129.85,FIS,https://finance.yahoo.com/sector/ms_technology/quote/FIS?p=FIS
Intuit Inc.,287.22,INTU,https://finance.yahoo.com/sector/ms_technology/quote/INTU?p=INTU
"ServiceNow, Inc.",374.06,NOW,https://finance.yahoo.com/sector/ms_technology/quote/NOW?p=NOW
"Fiserv, Inc.",101.86,FISV,https://finance.yahoo.com/sector/ms_technology/quote/FISV?p=FISV
